2018-11-22 11:30:38 status half-installed systemd-sysv:i386 215-17+deb8u7
2018-11-22 11:30:38 status unpacked systemd-sysv:i386 215-17+deb8u7
2018-11-22 11:30:38 status unpacked systemd-sysv:i386 215-17+deb8u7
2018-11-22 11:30:38 upgrade debconf:all 1.5.56+deb8u1 1.5.56+deb8u1
2018-11-22 11:30:38 status half-configured debconf:all 1.5.56+deb8u1
2018-11-22 11:30:38 status unpacked debconf:all 1.5.56+deb8u1
2018-11-22 11:30:38 status half-installed debconf:all 1.5.56+deb8u1
2018-11-22 11:30:39 status half-installed debconf:all 1.5.56+deb8u1
2018-11-22 11:30:39 status unpacked debconf:all 1.5.56+deb8u1
2018-11-22 11:30:39 status unpacked debconf:all 1.5.56+deb8u1
2018-11-22 11:30:39 install acl:i386 <none> 2.2.52-2
2018-11-22 11:30:39 status half-installed acl:i386 2.2.52-2
2018-11-22 11:30:39 status unpacked acl:i386 2.2.52-2
2018-11-22 11:30:39 status unpacked acl:i386 2.2.52-2
2018-11-22 11:30:39 install libcryptsetup4:i386 <none> 2:1.6.6-5
2018-11-22 11:30:39 status half-installed libcryptsetup4:i386 2:1.6.6-5
2018-11-22 11:30:39 status unpacked libcryptsetup4:i386 2:1.6.6-5
2018-11-22 11:30:39 status unpacked libcryptsetup4:i386 2:1.6.6-5
2018-11-22 11:30:39 install hostname:i386 <none> 3.15
2018-11-22 11:30:39 status half-installed hostname:i386 3.15
2018-11-22 11:30:39 status unpacked hostname:i386 3.15
2018-11-22 11:30:39 status unpacked hostname:i386 3.15
2018-11-22 11:30:39 install libgcrypt20:i386 <none> 1.6.3-2+deb8u4
2018-11-22 11:30:39 status half-installed libgcrypt20:i386 1.6.3-2+deb8u4
2018-11-22 11:30:39 status unpacked libgcrypt20:i386 1.6.3-2+deb8u4
2018-11-22 11:30:39 status unpacked libgcrypt20:i386 1.6.3-2+deb8u4
2018-11-22 11:30:39 install libgcc1:i386 <none> 1:4.9.2-10+deb8u1
2018-11-22 11:30:39 status half-installed libgcc1:i386 1:4.9.2-10+deb8u1
2018-11-22 11:30:39 status unpacked libgcc1:i386 1:4.9.2-10+deb8u1
2018-11-22 11:30:39 status unpacked libgcc1:i386 1:4.9.2-10+deb8u1
2018-11-22 11:30:39 install libgpg-error0:i386 <none> 1.17-3
2018-11-22 11:30:39 status half-installed libgpg-error0:i386 1.17-3
2018-11-22 11:30:39 status unpacked libgpg-error0:i386 1.17-3
2018-11-22 11:30:39 status unpacked libgpg-error0:i386 1.17-3
2018-11-22 11:30:39 install libncursesw5:i386 <none> 5.9+20140913-1+deb8u3
2018-11-22 11:30:39 status half-installed libncursesw5:i386 5.9+20140913-1+deb8u3
2018-11-22 11:30:39 status unpacked libncursesw5:i386 5.9+20140913-1+deb8u3
2018-11-22 11:30:39 status unpacked libncursesw5:i386 5.9+20140913-1+deb8u3
2018-11-22 11:30:39 install mount:i386 <none> 2.25.2-6
2018-11-22 11:30:39 status half-installed mount:i386 2.25.2-6
2018-11-22 11:30:40 status unpacked mount:i386 2.25.2-6
2018-11-22 11:30:40 status unpacked mount:i386 2.25.2-6
2018-11-22 11:30:40 install libpam-modules-bin:i386 <none> 1.1.8-3.1+deb8u2+b1
2018-11-22 11:30:40 status half-installed libpam-modules-bin:i386 1.1.8-3.1+deb8u2+b1
2018-11-22 11:30:40 status unpacked libpam-modules-bin:i386 1.1.8-3.1+deb8u2+b1
2018-11-22 11:30:40 status unpacked libpam-modules-bin:i386 1.1.8-3.1+deb8u2+b1
2018-11-22 11:30:40 install libtext-charwidth-perl:i386 <none> 0.04-7+b3
2018-11-22 11:30:40 status half-installed libtext-charwidth-perl:i386 0.04-7+b3
2018-11-22 11:30:40 status unpacked libtext-charwidth-perl:i386 0.04-7+b3
2018-11-22 11:30:40 status unpacked libtext-charwidth-perl:i386 0.04-7+b3
2018-11-22 11:30:40 install debianutils:i386 <none> 4.4+b1
2018-11-22 11:30:40 status half-installed debianutils:i386 4.4+b1
2018-11-22 11:30:40 status unpacked debianutils:i386 4.4+b1
2018-11-22 11:30:40 status unpacked debianutils:i386 4.4+b1
2018-11-22 11:30:40 install gcc-4.8-base:i386 <none> 4.8.4-1
2018-11-22 11:30:40 status half-installed gcc-4.8-base:i386 4.8.4-1
2018-11-22 11:30:40 status unpacked gcc-4.8-base:i386 4.8.4-1
2018-11-22 11:30:40 status unpacked gcc-4.8-base:i386 4.8.4-1
2018-11-22 11:30:40 install libattr1:i386 <none> 1:2.4.47-2
2018-11-22 11:30:40 status half-installed libattr1:i386 1:2.4.47-2
2018-11-22 11:30:40 status unpacked libattr1:i386 1:2.4.47-2
2018-11-22 11:30:40 status unpacked libattr1:i386 1:2.4.47-2
2018-11-22 11:30:40 install udev:i386 <none> 215-17+deb8u7
2018-11-22 11:30:40 status half-installed udev:i386 215-17+deb8u7
2018-11-22 11:30:41 status unpacked udev:i386 215-17+deb8u7
2018-11-22 11:30:41 status unpacked udev:i386 215-17+deb8u7
2018-11-22 11:30:41 install liblzma5:i386 <none> 5.1.1alpha+20120614-2+b3
2018-11-22 11:30:41 status half-installed liblzma5:i386 5.1.1alpha+20120614-2+b3
2018-11-22 11:30:41 status unpacked liblzma5:i386 5.1.1alpha+20120614-2+b3
2018-11-22 11:30:41 status unpacked liblzma5:i386 5.1.1alpha+20120614-2+b3
2018-11-22 11:30:41 install sysvinit-utils:i386 <none> 2.88dsf-59
2018-11-22 11:30:41 status half-installed sysvinit-utils:i386 2.88dsf-59
2018-11-22 11:30:41 status unpacked sysvinit-utils:i386 2.88dsf-59
2018-11-22 11:30:41 status unpacked sysvinit-utils:i386 2.88dsf-59
2018-11-22 11:30:41 upgrade perl-base:i386 5.20.2-3+deb8u11 5.20.2-3+deb8u11
2018-11-22 11:30:41 status half-configured perl-base:i386 5.20.2-3+deb8u11
2018-11-22 11:30:41 status unpacked perl-base:i386 5.20.2-3+deb8u11
2018-11-22 11:30:41 status half-installed perl-base:i386 5.20.2-3+deb8u11
2018-11-22 11:30:43 status half-installed perl-base:i386 5.20.2-3+deb8u11
2018-11-22 11:30:43 status unpacked perl-base:i386 5.20.2-3+deb8u11
2018-11-22 11:30:43 status unpacked perl-base:i386 5.20.2-3+deb8u11
2018-11-22 11:30:43 install grep:i386 <none> 2.20-4.1
2018-11-22 11:30:43 status half-installed grep:i386 2.20-4.1
2018-11-22 11:30:43 status unpacked grep:i386 2.20-4.1
2018-11-22 11:30:43 status unpacked grep:i386 2.20-4.1
2018-11-22 11:30:43 install sysv-rc:all <none> 2.88dsf-59
2018-11-22 11:30:43 status half-installed sysv-rc:all 2.88dsf-59
2018-11-22 11:30:43 status unpacked sysv-rc:all 2.88dsf-59
2018-11-22 11:30:43 status unpacked sysv-rc:all 2.88dsf-59
2018-11-22 11:30:43 install startpar:i386 <none> 0.59-3
2018-11-22 11:30:43 status half-installed startpar:i386 0.59-3
2018-11-22 11:30:43 status unpacked startpar:i386 0.59-3
2018-11-22 11:30:43 status unpacked startpar:i386 0.59-3
2018-11-22 11:30:43 install ncurses-bin:i386 <none> 5.9+20140913-1+deb8u3
2018-11-22 11:30:43 status half-installed ncurses-bin:i386 5.9+20140913-1+deb8u3
2018-11-22 11:30:44 status unpacked ncurses-bin:i386 5.9+20140913-1+deb8u3
2018-11-22 11:30:44 status unpacked ncurses-bin:i386 5.9+20140913-1+deb8u3
2018-11-22 11:30:44 install dmsetup:i386 <none> 2:1.02.90-2.2+deb8u1
2018-11-22 11:30:44 status half-installed dmsetup:i386 2:1.02.90-2.2+deb8u1
2018-11-22 11:30:44 status unpacked dmsetup:i386 2:1.02.90-2.2+deb8u1
2018-11-22 11:30:44 status unpacked dmsetup:i386 2:1.02.90-2.2+deb8u1
2018-11-22 11:30:44 install libbz2-1.0:i386 <none> 1.0.6-7+b3
2018-11-22 11:30:44 status half-installed libbz2-1.0:i386 1.0.6-7+b3
2018-11-22 11:30:44 status unpacked libbz2-1.0:i386 1.0.6-7+b3
2018-11-22 11:30:44 status unpacked libbz2-1.0:i386 1.0.6-7+b3
2018-11-22 11:30:44 upgrade libc6:i386 2.19-18+deb8u10 2.19-18+deb8u10
2018-11-22 11:30:44 status half-configured libc6:i386 2.19-18+deb8u10
2018-11-22 11:30:44 status unpacked libc6:i386 2.19-18+deb8u10
2018-11-22 11:30:44 status half-installed libc6:i386 2.19-18+deb8u10
2018-11-22 11:30:45 status half-installed libc6:i386 2.19-18+deb8u10
2018-11-22 11:30:45 status unpacked libc6:i386 2.19-18+deb8u10
2018-11-22 11:30:45 status unpacked libc6:i386 2.19-18+deb8u10
2018-11-22 11:30:45 install libselinux1:i386 <none> 2.3-2
2018-11-22 11:30:45 status half-installed libselinux1:i386 2.3-2
2018-11-22 11:30:45 status unpacked libselinux1:i386 2.3-2
